Certified Exporters for 2015 - 2018,,,,,,,
,,,,,,,
BusinessName,Address1,Address2,SubSector,2015,2016,2017,2018
SLEEP RITE (BARBADOS) LTD.,"GRAZETTE INDUSTRIAL PARK, ST.MICHAE",,MANUFACTURING N.E.C.,YES,,,
SOL CARIBBEAN LTD,WILDEY BUSINESS CENTRE,"WILDEY, ST MICHAEL",BUSINESS ACTIVITIES N.E.C.,YES,,,
SOLAR DYNAMICS LTD./CLAYTONE PRODUCTS INC.  ,Grazettes Industrial Park,ST. MICHAEL,"OTHER FABRICATED METAL PRODUCTS, WORKING SERVICE ACTIVITIES",,YES,YES,YES
SOLARIS GLOBAL ENERGY LIMITED ,Grantley Adams Industrial Park,CHRIST CHURCH,"OTHER FABRICATED METAL PRODUCTS, WORKING SERVICE ACTIVITIES",YES,YES,,
SOLID WASTE SOLUTION & SERVICES INC,"7 ANTRIM CLOSE, GRAZETTES",ST MICHAEL,RECYCLING OF NON-METAL WASTE AND SCRAP,YES,YES,YES,YES
Southern Hatcheries Ltd ,GREEN HILL ,,"OTHER ANIMAL FARMING, PRODUCTION OF ANIMAL PRODUCTS N.E.C.",YES,YES,YES,YES
SPECIALIST CARIBBEAN AQUATICS,"'MANGO', 140 TEAL PLOVE","INCH MARLOW, CHRIST CHURCH",AGRICULTURAL AND ANIMAL HUSBANDRY SERVICE ACTIVITIES,,,YES,
STANSFELD SCOTT & CO LTD ,,,MANUFACTURE OF BEVERAGES,YES,,,YES
STRUCTURAL SYSTEMS LTD.  ,Warrens,ST. MICHAEL,"OTHER FABRICATED METAL PRODUCTS, WORKING SERVICE ACTIVITIES",YES,YES,YES,YES
SUN GENERAL INSURANCE INC.,"CWTS COMPLEX, LOWER ESTATE","ST. GEORGE, BARBADOS",BUSINESS ACTIVITIES N.E.C.,YES,,,
SUNPOWER (1999) LTD.  ,Searles Factory Yard,CHRIST CHURCH,"OTHER FABRICATED METAL PRODUCTS, WORKING SERVICE ACTIVITIES",YES,YES,YES,YES
SUPERIOR PLASTICS LTD.  ,50/51 Roebuck Street,Bridgetown,MANUFACTURE OF PLASTICS PRODUCTS,YES,YES,YES,YES
TALIUS ,BUILDING 3 UNIT A,SIX ROADS INDUSTRIAL PARK,"OTHER FABRICATED METAL PRODUCTS, WORKING SERVICE ACTIVITIES",YES,YES,YES,YES
TAMISHA CLARKE,CHIMBORAZO,ST. JOSEPH,AGRICULTURAL AND ANIMAL HUSBANDRY SERVICE ACTIVITIES,,YES,,
TELEBARBADOS INC.,"GOOD HOPE, GREEN HILL",BARBADOS,BUSINESS ACTIVITIES N.E.C.,YES,,,
TELLING CARIBBEAN LTD.  ,Sandgate House,Fontabelle,MANUFACTURE OF NON-METALLIC MINERAL PRODUCTS N.E.C.,YES,YES,YES,YES
TESSA CHADERTON-SHAW,"27 BELLA VISTA, MOUNT WILTON","ST. THOMAS, BARBADOS",BUSINESS ACTIVITIES N.E.C.,,,YES,YES
The Bank Of Nova Scotia ,,,"MANUFACTURE OF WEARING APPAREL, EXCEPT FUR APPAREL",,,YES,
THE RIVER BAY TRADING COMPANY,Halls Village #2,ST. JAMES,"MANUFACTURE OF WEARING APPAREL, EXCEPT FUR APPAREL",YES,YES,YES,
THE WEST INDIES RUM DISTILLERY LTD ,"Brighton, Black Rock",ST. MICHAEL,MANUFACTURE OF BEVERAGES,YES,YES,YES,YES
THE WEST INDIES SUGAR & TRADING CO. LTD,Top Floor ,The Old Mutual Building,MANUFACTURING N.E.C.,,YES,,
TORTUGA BARBADOS,"BLDG 5, WILDEY  ESTATE, ST MICHAEL",Wildey Industrial Park,MANUFACTURE OF OTHER FOOD PRODUCTS,YES,YES,,YES
TRAMAINE WORRELL,NO 9 HOLDERS TERRACE,ST. JAMES,AGRICULTURAL AND ANIMAL HUSBANDRY SERVICE ACTIVITIES,YES,YES,,YES
Tropical Art Glasses ,#8 Cole's Terrace,ST PHILIP,MANUFACTURE OF GLASS AND GLASS PRODUCTS,YES,YES,,
TROPICAL BATTERY COMPANY LTD.  ,Fontabelle,ST. MICHAEL,BUILDING INSTALLATION,YES,YES,,
TROPICAL WEAVERS LTD.  ,"Building #6, Unit 2B",Pelican Industrial Park,"MANUFACTURE OF WEARING APPAREL, EXCEPT FUR APPAREL",YES,,,
TROWEL PLASTICS (BDOS) LTD.  ,Bagatelle,ST. JAMES,MANUFACTURE OF BASIC CHEMICALS,YES,YES,YES,YES
TT ELECTRONICS LTD ,,,MANUFACTURE OF OTHER ELECTRICAL EQUIPMENT N.E.C.,YES,YES,YES,YES
Ultra Industries Ltd ,Letchworth Complex,Garrison,MANUFACTURE OF PAPER AND PAPER PRODUCTS,YES,YES,YES,YES
UNDERCOVER CANVAS AND AWNINGS INC.,25A WEBSTERS PARK,"WILDEY, ST. MICHAEL",MANUFACTURE OF OTHER TEXTILES N.E.C,,,YES,YES
VEGCO LIMITED,FOURSQUARE PLANTATION,ST. PHILIP,AGRICULTURAL AND ANIMAL HUSBANDRY SERVICE ACTIVITIES,,YES,YES,
Vernatius Browne ,,,"OTHER ANIMAL FARMING, PRODUCTION OF ANIMAL PRODUCTS N.E.C.",YES,,,
VERY VANITA,84 HUSBANDS HEIGHTS,ST. JAMES,"MANUFACTURE OF WEARING APPAREL, EXCEPT FUR APPAREL",,YES,,
VICTOR CHEESEMAN,PADDOCK ROAD,ST. MICHAEL,"FARMING OF CATTLE, ASSES, MULES AND DAIRY FARMING",YES,,,
Virgil Broodhagen ,,,PRINTING AND SERVICE ACTIVITIES RELATED TO PRINTING,YES,YES,YES,YES
VISUAL IMPACT,#9 RENDEZVOUS TERRACE,CHRIST CHURCH,PRINTING AND SERVICE ACTIVITIES RELATED TO PRINTING,YES,YES,YES,YES
Wayne Welch ,,,"OTHER ANIMAL FARMING, PRODUCTION OF ANIMAL PRODUCTS N.E.C.",,,YES,
WENDELL KING,"""MARINAN VIEW"" N. 123, RIDGE CLOSE,","BAKERS TERRACE, ST. PETER, BARBADOS",BUSINESS ACTIVITIES N.E.C.,,,YES,
WEST INDIAN SOAP CO.,39 CLEARVIEW HEIGHTS,ST. JAMES,MANUFACTURING N.E.C.,,YES,,
WEST INDIES CENTRAL SUGAR CANE BREEDING STATION,GROVES,ST. GEORGE,AGRICULTURAL AND ANIMAL HUSBANDRY SERVICE ACTIVITIES,,,YES,
Westwood Works ,,,"PRODUCTS OF WOOD,CORK,STRAW & PLAITING MATERIALS",YES,YES,,
Wibisco ,,,MANUFACTURE OF OTHER FOOD PRODUCTS,YES,YES,YES,YES
WINDOW AND DOOR COMPONENTS,HOTHERSAL TURNING,ST MICHAEL,MANUFACTURING N.E.C.,YES,,,
WORLD BEDDING & FURNITURE INC ,P.O. Box 649C,Lowlands,MANUFACTURE OF OTHER TEXTILES N.E.C,YES,YES,YES,YES
Yankee Garments Ltd ,Grazettes Industrial Park,ST. MICHAEL,"MANUFACTURE OF WEARING APPAREL, EXCEPT FUR APPAREL",YES,YES,,YES
